5135,4922,4794,5459,5034,4427,5876,7317,7094,6597,6486,6421,5900,5802,5285,5192,5133,5202,5011,5424,4170,2815,5886,8466,7718,7484,7447,7244,7023,6901,6599,6285,6105,6108,6379,6281,5971,5317,5039,4642,3560,1360,603,6154,3565,1928,1094,1029,961,797,943,878,761,724,620,515,189,275,582,557,365,276,155,141,395,227,66,479,455,413,139,42,126,609,1073,928,725,450,211,293,887,1019,864,763,834,996,1291,1396,1324,1265,966,1072,1315,1247,1409,547,400,1069,2762,2451,2489,1952,1974,2053,1081,665,752,698,846,1180,1632,1886,2204,2145,1470,2413,2573,2699,1767,1853,2688,3026,2535,382,134,70,10,12,39,115,99,75,57,87,143,97,113,152,159,168,159,55,55,275,163,213,196,206,200,216,190,181,138,111,74,79,29,14,75,144,49,41,19,110,119,101,95,446,665,793,1213,1328,1598,1275,1279,1355,1829,1909,2185,1200
4517,4359,4622,4804,4412,4873,4583,6017,6738,6386,6000,5846,5150,5031,4911,4626,4289,4988,5141,4111,1886,1414,7552,7945,6743,6319,4942,6152,6437,6310,5922,5290,5084,4773,5471,5763,5004,4746,4253,4206,2463,1540,416,5197,1235,851,699,606,467,454,787,712,732,568,470,366,273,296,579,536,494,169,25,482,307,85,387,413,249,260,285,74,441,1096,978,899,703,488,301,256,620,784,686,431,421,616,882,940,896,885,1092,1050,1270,1470,1622,2431,2413,2646,2254,2095,2061,1914,1660,1674,1470,684,644,594,968,1320,1693,1820,2113,2405,2214,1756,2493,2657,2697,1466,2655,3036,3661,167,136,93,53,46,41,132,108,60,56,94,118,75,116,124,150,167,176,151,147,258,191,169,190,130,159,168,149,110,83,60,45,64,21,59,95,632,91,48,74,353,589,180,267,260,278,746,1162,1220,1402,1071,1133,1397,1517,1594,1976,2113
3574,3268,3872,3697,3298,2754,3603,5617,6708,6193,5621,5132,4745,4301,4156,3618,2839,4650,4860,3785,3082,5450,7307,7135,7621,7037,6818,5974,5939,5156,5104,4516,4159,3644,3882,5282,5293,4344,3922,2981,3361,4647,5945,1183,847,316,680,334,501,828,765,682,618,651,481,465,422,256,900,811,529,544,255,544,508,14,569,346,141,240,357,834,1146,947,838,880,621,547,515,145,176,407,310,129,101,119,132,241,151,168,861,1321,1283,1774,2525,2796,2351,1833,2049,1634,1614,1260,1437,1268,1318,485,848,945,1277,1462,1728,2040,2209,2246,2478,2287,2375,2296,2752,2609,2800,2925,944,351,143,113,43,47,63,139,129,90,142,127,68,82,118,104,113,142,155,158,222,175,161,132,131,122,79,113,36,44,32,57,87,136,59,299,902,973,832,562,639,370,565,873,758,151,264,717,1024,1128,1275,948,1046,1200,1262,1379,1567,1919
2873,2857,3038,3062,2815,3181,3441,4597,6280,5802,5254,4589,4169,3378,3132,2786,1887,4191,4482,4186,5136,6078,6271,6444,7716,6984,5776,4591,4317,3320,3811,3581,3802,3038,3513,5370,5090,4151,3535,3920,4573,3992,4982,6739,6648,5210,1691,2572,4208,5432,1297,519,503,560,671,615,558,629,1070,653,672,650,229,647,643,550,554,281,250,248,702,1152,1072,902,890,848,645,529,401,225,163,121,47,150,214,321,50,147,1052,524,18,939,1274,1954,2399,2370,2094,1823,1521,1522,1446,844,933,1028,995,607,869,947,1293,1603,1899,2030,2343,2512,2478,2369,1972,2814,2553,2680,2776,3606,701,456,104,45,37,48,62,171,133,153,123,96,44,122,67,88,111,145,145,250,109,68,151,146,118,104,98,116,98,76,25,65,96,62,1151,1083,918,660,492,396,450,277,303,617,649,203,228,654,695,973,900,860,704,1138,1417,1681,1913,1135
2718,2215,2179,2384,2194,2563,3163,5077,5892,4999,4370,4298,3385,2526,2269,1661,1460,1877,3942,2170,4749,4990,4772,5519,7148,5726,3927,4152,3163,3546,4073,4229,4029,3003,3567,4658,4556,4032,3280,3678,4155,4199,6246,6529,6639,7051,7033,7002,6160,6220,5477,5909,6176,6179,6113,3056,3459,4194,2093,945,849,637,95,766,672,438,427,88,175,90,1292,1090,914,872,917,656,503,474,326,297,241,159,109,133,551,1023,786,274,531,946,553,423,958,1772,2133,1930,1616,1477,1289,1153,1356,684,575,557,698,496,1273,1184,877,1461,2055,2244,2292,2671,2697,2880,2479,2988,3228,3176,2952,1953,173,247,65,30,34,51,63,189,137,122,88,55,92,120,116,112,98,128,152,160,25,123,180,166,129,91,55,93,100,102,67,77,88,1233,989,768,326,394,422,389,326,244,227,473,502,331,105,343,684,973,807,425,354,906,1380,1628,1865,1528
2397,1871,1458,1628,1366,1931,2101,4808,5089,4541,3751,3522,2583,1514,1554,1182,845,2389,4568,4299,4761,4032,3367,4466,4705,3421,1268,1743,3586,5829,5240,4630,4007,2804,3244,4291,3927,3344,2542,3203,3322,4543,6253,6015,5678,6308,6243,6456,5803,5607,5359,5290,5563,5443,6262,5925,4604,4489,3672,4752,2595,957,638,649,568,391,228,214,53,1046,1273,1002,909,888,795,648,443,325,305,271,234,138,163,618,1232,1102,424,218,447,980,1080,467,613,1229,1267,1109,1198,1133,1178,959,737,693,915,886,1232,1298,1418,1507,1342,1624,1942,2354,2465,2487,2759,2933,3279,3261,3276,4164,3502,1875,1069,53,35,39,48,55,61,186,115,111,87,54,108,127,113,100,91,102,116,173,131,65,232,210,151,97,78,77,52,135,132,115,429,1133,742,536,907,426,380,355,273,277,251,343,345,293,171,303,646,781,868,1002,1156,1190,1340,1548,1713,1604
1815,1351,937,663,1150,1970,1699,2428,5083,4391,3781,3287,2606,1211,1092,434,144,641,4558,3861,4083,3687,3075,2429,1981,1232,1800,4283,6100,5403,4908,4714,3867,2931,2392,3740,3741,2928,2042,3043,3908,5703,5526,5232,5297,5046,5501,5702,5355,5003,4517,4022,4307,4837,5167,5288,4696,4392,4228,4242,4157,4534,3157,2108,569,601,455,581,570,1086,1160,1145,1023,786,571,376,322,313,225,225,307,186,1002,1442,1216,646,191,324,534,769,851,458,407,676,842,798,771,999,945,873,754,667,718,912,1104,1405,1802,1974,1366,1709,2025,2421,2607,2500,2729,2995,3261,3618,4850,5164,1705,2341,1090,1224,55,50,49,63,101,153,114,62,101,38,66,119,120,86,84,96,130,167,275,472,219,211,183,133,101,103,70,74,107,842,446,1021,814,1032,842,623,393,201,219,269,192,310,243,252,198,256,285,454,677,802,1032,1069,1128,1387,1573,1694
1353,607,150,249,942,1348,1689,3341,5069,4272,3398,2146,1278,579,571,351,2718,3911,4650,4440,3993,3338,3407,3595,4751,6159,7370,7002,6471,5387,4660,4414,3819,2720,2150,3510,3673,2635,2674,3744,4841,4928,4600,4270,4472,4009,4461,4907,4403,4327,3863,3520,3673,3948,4049,3997,4024,4455,3835,3014,3139,3706,3426,3656,4086,4232,4246,3595,3079,3614,2350,1239,1121,428,388,401,377,301,421,605,609,1084,1570,1333,1009,475,238,431,757,1555,885,524,359,356,355,560,745,760,716,681,573,718,1055,937,1154,1688,1886,2303,2392,2240,2708,2724,2469,2580,2684,2910,3404,4403,4741,2426,1889,1825,1254,2541,2689,1588,61,802,391,143,111,92,71,69,49,125,147,126,118,93,133,220,1278,1934,299,313,227,167,98,67,67,82,1304,1647,1620,897,610,914,707,479,341,171,164,266,211,248,267,213,305,252,62,155,426,634,860,920,1007,1183,1252,1438
619,182,53,269,398,942,1471,4221,4641,3936,3240,1730,880,435,612,1689,3259,4410,4557,4048,3779,2460,3571,3389,2890,5260,7456,6673,5812,5022,3046,2557,3743,2197,1924,2650,3636,1936,3297,3907,4453,4149,3584,3330,3183,3212,3464,4348,3950,3689,3740,2927,3085,3164,3164,3163,3020,3642,2850,2428,2324,2685,2694,2839,2997,3576,3558,2127,2312,3255,3952,2116,974,455,286,263,624,573,877,1121,1954,1645,1295,1035,396,98,283,509,745,1243,1639,614,607,623,720,888,745,666,559,575,649,849,1004,1107,1069,1495,2265,2448,2603,2846,2873,3113,3049,3217,3484,3728,4145,2327,2900,1470,1219,1164,1071,1765,3064,3911,4194,3679,2834,177,138,116,100,114,78,99,155,180,278,2934,3477,3701,4266,3778,90,292,369,290,348,817,82,1360,1980,1748,1609,1433,1209,817,695,328,316,243,193,195,223,249,322,291,368,194,79,79,245,401,743,871,943,1138,1181,1256
565,110,345,277,305,679,2307,4343,4332,3258,2498,1162,486,224,420,1980,4161,4487,3970,3408,3446,3738,4033,3499,3772,7009,6950,6398,5652,5115,4892,4449,4111,1840,1742,2034,2245,2084,4014,3782,3781,3402,2885,2354,2350,2630,2770,3978,3444,3193,3405,2910,2623,2643,2500,2397,2556,2854,2527,1892,1784,1899,2093,2049,2272,2499,2670,1384,1435,1911,3812,2104,770,453,655,1193,2313,2347,2257,2020,1979,1646,1358,728,359,263,468,575,820,1183,1377,662,865,897,999,923,742,757,537,608,659,831,1168,1522,1707,2007,2210,2164,2327,2727,2803,2912,3150,3382,3521,3462,3632,2162,1638,1499,859,665,935,1592,2715,3399,3955,4400,4751,145,126,80,95,132,125,116,142,1674,3056,2882,3226,3367,3600,4251,1260,177,679,728,397,472,1296,1373,1482,1332,1461,1226,883,840,422,319,309,272,224,209,231,256,306,303,420,328,84,102,135,228,509,734,739,904,911,955
