site,waterDist,slope
Ciudad Perdida,4.817746538,18.39461252
Ciudad Perdida,133.9519998,18.51025644
Ciudad Perdida,71.14726932,22.08933134
Ciudad Perdida,248.9663039,26.12142134
Ciudad Perdida,199.8389492,9.618377055
Ciudad Perdida,126.4242075,18.93266094
Ciudad Perdida,290.6446007,24.99549506
Ciudad Perdida,201.6339878,12.12773101
Ciudad Perdida,112.5033888,18.72622013
Ciudad Perdida,276.583586,34.87856979
Ciudad Perdida,276.8629946,21.95052486
Ciudad Perdida,187.2625468,17.53473758
Ciudad Perdida,100.2643175,26.86122475
Ciudad Perdida,276.8350949,33.85054947
Ciudad Perdida,341.3384784,27.22397903
Ciudad Perdida,262.2998582,13.08089651
Ciudad Perdida,173.7821062,16.44058633
Ciudad Perdida,83.70312917,30.54707328
Ciudad Perdida,213.3391065,27.69783228
Ciudad Perdida,276.452255,27.39970656
Ciudad Perdida,342.7503556,26.96630583
Ciudad Perdida,337.430103,19.85874093
Ciudad Perdida,248.3369687,9.667691395
Ciudad Perdida,158.5298463,15.88044276
Ciudad Perdida,67.78501688,30.38515476
Ciudad Perdida,212.5651568,28.32625955
Ciudad Perdida,252.9263259,26.31128411
Ciudad Perdida,287.4412574,26.6499
Ciudad Perdida,343.2854376,25.59028045
Ciudad Perdida,406.3121383,24.04637965
Ciudad Perdida,323.2123473,21.33569315
Ciudad Perdida,233.6257421,18.1896532
Ciudad Perdida,143.0290267,17.64498106
Ciudad Perdida,246.4353572,36.61484409
Ciudad Perdida,260.5140126,33.41846221
Ciudad Perdida,290.177801,29.17895654
Ciudad Perdida,343.9228014,25.38549974
Ciudad Perdida,370.0455328,25.73158591
Ciudad Perdida,414.917114,25.38017583
Ciudad Perdida,398.2277416,28.13642512
Ciudad Perdida,308.7948169,30.22871693
Ciudad Perdida,218.2741639,27.20119996
Ciudad Perdida,128.4713209,23.62694752
Ciudad Perdida,44.02326587,28.67960693
Ciudad Perdida,327.4250418,31.05359494
Ciudad Perdida,339.1777455,37.9320033
Ciudad Perdida,351.1063999,38.91683012
Ciudad Perdida,374.7328173,36.33401725
Ciudad Perdida,416.3317632,31.35831566
Ciudad Perdida,456.5602195,28.53857818
Ciudad Perdida,473.8002712,31.09825899
Ciudad Perdida,383.9943569,37.67012268
Ciudad Perdida,293.519901,36.65389465
Ciudad Perdida,203.5391739,31.98490836
Ciudad Perdida,115.214822,26.75651474
Ciudad Perdida,29.90207477,29.89992369
Ciudad Perdida,66.27061325,29.0682909
Ciudad Perdida,327.4669684,26.42903838
Ciudad Perdida,418.4818914,30.41962535
Ciudad Perdida,441.3492981,36.88358052
Ciudad Perdida,462.4375961,41.16754289
Ciudad Perdida,496.7454845,41.83063655
Ciudad Perdida,545.1266729,41.88545127
Ciudad Perdida,465.5640917,43.22679029
Ciudad Perdida,374.5420922,42.88224999
Ciudad Perdida,283.5237273,36.0331979
Ciudad Perdida,192.5141524,32.48043706
Ciudad Perdida,101.5370059,25.15034975
Ciudad Perdida,80.18058669,32.88330508
Ciudad Perdida,327.7900755,32.90788121
Ciudad Perdida,418.7352584,26.17710936
Ciudad Perdida,509.70999,25.52557391
Ciudad Perdida,551.7922562,33.86463664
Ciudad Perdida,580.8462219,38.80613836
Ciudad Perdida,565.0273852,42.29094268
Ciudad Perdida,475.6211388,44.6313093
Ciudad Perdida,386.9717124,42.31452734
Ciudad Perdida,212.2041143,36.40068038
Ciudad Perdida,419.2083022,25.61579121
Ciudad Perdida,510.0991685,18.90380275
Ciudad Perdida,601.0316097,19.43394513
Ciudad Perdida,667.241267,26.36024259
Ciudad Perdida,588.1531025,34.58558708
Ciudad Perdida,418.7520928,23.3775121
Ciudad Perdida,509.7246786,22.80881441
Ciudad Perdida,597.8612093,24.03087907
Ciudad Perdida,677.7083005,28.31545234
Ciudad Perdida,473.3918568,23.63521624
Ciudad Perdida,556.2176713,25.62834432
Ciudad Perdida,641.2713167,25.64144916
Ciudad Perdida,439.5929916,23.39796452
Ciudad Perdida,527.750403,28.29636352
Ciudad Perdida,616.7427181,27.55543914
Ciudad Perdida,423.776432,29.59332793
Ciudad Perdida,514.6505568,30.73202716
Ciudad Perdida,605.3607545,32.1279069
